question_id,question,canonical_answer,answer_variants,expected_entities,gold_triples,question_type,difficulty,notes
q_circ_001,Che cos'è l'economia circolare applicata al cibo?,"L'economia circolare applicata al cibo è un paradigma economico e culturale sistemico che supera il modello lineare e assume i contorni di una riflessione olistica sulla salute umana e planetaria (One Health). Progettando i flussi di materia, energia e informazione che condizionano ciclicamente il sistema alimentare, permette di avere un impatto positivo sui 17 SDGs e di rigenerare il capitale naturale, culturale ed economico che sostiene la coevoluzione tra le specie.",[],"[""economia circolare"", ""cibo"", ""One Health"", ""SDGs"", ""capitale naturale""]",[],factoid,easy,SILVER (provisional): risposta redatta da Claude (Fable 5) il 2026-07-15 da evidenze BM25 del corpus circular (run_full_circular_20260707 + run_fix2docs_20260710). Non validata da esperto; non usare per numeri finali del paper.
q_circ_002,Che cos'è il progetto RePoPP e chi lo gestisce?,"RePoPP (Re-design Project of Organic waste in Porta Palazzo market, anche 'Progetto valorizzazione organico Porta Palazzo') è un progetto nato a Torino nel 2016 presso il mercato di Porta Palazzo per il recupero delle eccedenze alimentari invendute, distribuite gratuitamente alle persone bisognose tramite la squadra di migranti e richiedenti asilo detta 'Ecomori'. È promosso dalla Città di Torino con Amiat Gruppo Iren, Novamont, Eco dalle Città e Sea, con il coordinamento scientifico dell'Università di Scienze Gastronomiche di Pollenzo (project manager Franco Fassio). Ha portato la raccolta differenziata a Porta Palazzo dal 40% all'80%.",[],"[""RePoPP"", ""Porta Palazzo"", ""Torino"", ""Città di Torino"", ""Eco dalle Città"", ""Novamont"", ""Amiat"", ""Università di Scienze Gastronomiche di Pollenzo"", ""Franco Fassio""]",[],factoid,easy,SILVER (provisional): risposta redatta da Claude (Fable 5) il 2026-07-15 da evidenze BM25 del corpus circular (run_full_circular_20260707 + run_fix2docs_20260710). Non validata da esperto; non usare per numeri finali del paper.
q_circ_003,"Quali sono le ""3 C"" dell'economia circolare per l'alimentazione?","Le 3 C dell'economia circolare per il cibo, quadro concettuale proposto da Franco Fassio, sono: Capitale (naturale, culturale, economico), Ciclicità (nelle modalità ciclo corto, lungo, a cascata e puro) e Coevoluzione (le priorità e condizioni che rendono la progettazione circolare, in un paradigma collaborativo). Sono assunte come riferimento teorico-pratico per progettare in chiave circolare il sistema alimentare.",[],"[""3 C"", ""Capitale"", ""Ciclicità"", ""Coevoluzione"", ""Franco Fassio""]",[],factoid,easy,SILVER (provisional): risposta redatta da Claude (Fable 5) il 2026-07-15 da evidenze BM25 del corpus circular (run_full_circular_20260707 + run_fix2docs_20260710). Non validata da esperto; non usare per numeri finali del paper.
q_circ_004,Che ruolo ha Slow Food nella promozione dell'economia circolare?,"Slow Food Italia promuove l'economia circolare per il cibo insieme all'Università di Scienze Gastronomiche di Pollenzo: con la rete Slow Food Youth Network Italia ha mappato 42 buone pratiche di economia circolare pubblicate in 'Circular City Selfie'; partecipa al progetto In Cibo Civitas e alla definizione delle politiche locali del cibo (food policy) di molte città italiane (Milano, Bergamo, Trento, Bari, ecc.); Slow Food Piemonte-Valle d'Aosta e la Rete Giovani hanno collaborato alla ricerca sulle filiere piemontesi; il framework delle 3 C è stato adottato per le attività B2B di Terra Madre Salone del Gusto (202 imprese).",[],"[""Slow Food"", ""Slow Food Youth Network Italia"", ""Circular City Selfie"", ""In Cibo Civitas"", ""Università di Scienze Gastronomiche di Pollenzo"", ""Terra Madre Salone del Gusto""]",[],relation,medium,SILVER (provisional): risposta redatta da Claude (Fable 5) il 2026-07-15 da evidenze BM25 del corpus circular (run_full_circular_20260707 + run_fix2docs_20260710). Non validata da esperto; non usare per numeri finali del paper.
q_circ_005,Chi è Franco Fassio e di che cosa si occupa?,"Franco Fassio è un Systemic Designer, professore associato di EcoDesign, Systemic Design e Circular Economy for Food presso l'Università di Scienze Gastronomiche di Pollenzo, direttore del Systemic Food Design Lab e consigliere nazionale di Slow Food Italia, con PhD in Cultura del Design al Politecnico di Torino. Si occupa di economia circolare applicata al cibo: è autore del framework delle '3 C' (Capitale, Ciclicità, Coevoluzione), coautore con Nadia Tecco del libro 'Circular Economy for Food', project manager del progetto RePoPP e coordinatore delle ricerche sulle filiere agroalimentari piemontesi (report MATTM).",[],"[""Franco Fassio"", ""Università di Scienze Gastronomiche di Pollenzo"", ""Systemic Design"", ""Circular Economy for Food"", ""Slow Food Italia"", ""3 C""]",[],factoid,easy,SILVER (provisional): risposta redatta da Claude (Fable 5) il 2026-07-15 da evidenze BM25 del corpus circular (run_full_circular_20260707 + run_fix2docs_20260710). Non validata da esperto; non usare per numeri finali del paper.
q_circ_006,Che cosa sono le eccedenze alimentari e come vengono recuperate?,"Le eccedenze alimentari sono cibo ancora perfettamente consumabile che resta invenduto o non consumato lungo la catena alimentare (per imperfezioni, eccessiva maturazione o prossimità di scadenza). In Italia la legge 166/2016 ('Legge Gadda') le definisce e ne disciplina la cessione gratuita a enti senza scopo di lucro con finalità solidaristiche, con priorità al consumo umano. Vengono recuperate tramite progetti come RePoPP nei mercati torinesi (recupero quotidiano dell'invenduto e distribuzione gratuita ai bisognosi), empori solidali (es. Cesena), reti territoriali come M.A.R.I.S.A. nel Mugello e iniziative aziendali come Cuki Save the Food.",[],"[""eccedenze alimentari"", ""legge 166/2016"", ""Legge Gadda"", ""RePoPP"", ""spreco alimentare"", ""empori solidali""]",[],factoid,medium,SILVER (provisional): risposta redatta da Claude (Fable 5) il 2026-07-15 da evidenze BM25 del corpus circular (run_full_circular_20260707 + run_fix2docs_20260710). Non validata da esperto; non usare per numeri finali del paper.
q_circ_007,Che cos'è il biochar e a che cosa serve?,"Il biochar è un materiale organico carbonizzato ottenuto dalla conversione termochimica di biomassa in ambiente a ossigeno limitato, tipicamente per pirolisi (da ~300°C) o gassificazione (500-1500°C), con co-prodotti energetici (calore, combustibili liquidi o gas). Serve come ammendante del suolo per migliorarne la fertilità fisica, chimica e biologica, per il sequestro di carbonio e la mitigazione dei gas serra, per aumentare l'efficienza d'uso delle risorse e ridurre l'inquinamento; nelle stazioni di lavorazione del caffè può essere prodotto dai residui (es. bucce) come soluzione di gestione circolare degli scarti.",[],"[""biochar"", ""pirolisi"", ""biomassa"", ""suolo"", ""sequestro di carbonio"", ""caffè""]",[],factoid,easy,SILVER (provisional): risposta redatta da Claude (Fable 5) il 2026-07-15 da evidenze BM25 del corpus circular (run_full_circular_20260707 + run_fix2docs_20260710). Non validata da esperto; non usare per numeri finali del paper.
q_circ_008,Qual è il ruolo della FAO nella riduzione degli sprechi alimentari?,"La FAO (Organizzazione delle Nazioni Unite per l'alimentazione e l'agricoltura) quantifica e monitora le perdite e gli sprechi alimentari a livello globale: ha pubblicato studi di riferimento come 'Global Food Losses and Food Waste' (2011) e 'Food Wastage Footprint' (2013), ha sviluppato la proposta metodologica del Food Loss Index per il monitoraggio del target SDG 12.3 (sub-indicatore 12.3.1.a), gestisce la Technical Platform on the Measurement and Reduction of Food Loss and Waste e co-pubblica i rapporti sullo stato della sicurezza alimentare e della nutrizione nel mondo.",[],"[""FAO"", ""Food Loss Index"", ""SDG 12.3"", ""sprechi alimentari"", ""perdite alimentari""]",[],relation,medium,SILVER (provisional): risposta redatta da Claude (Fable 5) il 2026-07-15 da evidenze BM25 del corpus circular (run_full_circular_20260707 + run_fix2docs_20260710). Non validata da esperto; non usare per numeri finali del paper.
q_circ_009,Che cosa prevede il PNRR in tema di economia circolare?,"Nell'ambito del PNRR (Piano Nazionale di Ripresa e Resilienza), finanziato con le risorse europee del Next Generation EU, è stata istituita la Strategia nazionale per l'economia circolare, incentrata su eco-progettazione ed eco-efficienza, potenziamento del mercato delle materie prime seconde tramite nuovi strumenti amministrativi e fiscali, responsabilità estesa del produttore, diffusione di pratiche di condivisione e di 'prodotto come servizio', supporto alla neutralità climatica e definizione di indicatori per misurare la circolarità dal 2020 al 2040. Il PNRR finanzia inoltre progetti di innovazione come NODES (MUR M4C2 1.5).",[],"[""PNRR"", ""Strategia nazionale per l'economia circolare"", ""Next Generation EU"", ""economia circolare"", ""NODES""]",[],factoid,medium,SILVER (provisional): risposta redatta da Claude (Fable 5) il 2026-07-15 da evidenze BM25 del corpus circular (run_full_circular_20260707 + run_fix2docs_20260710). Non validata da esperto; non usare per numeri finali del paper.
q_circ_010,Che cos'è il Circular Economy for Food HUB?,"Il Circular Economy for Food HUB è il contesto di ricerca-azione dell'Università di Scienze Gastronomiche di Pollenzo dedicato all'applicazione dell'economia circolare ai sistemi alimentari: i suoi lavori hanno contribuito allo sviluppo del quadro concettuale (le 3 C: capitale, ciclicità, coevoluzione, Fassio 2020) che supporta la transizione circolare del cibo secondo la visione pollentina.",[],"[""Circular Economy for Food HUB"", ""Università di Scienze Gastronomiche di Pollenzo"", ""3 C"", ""economia circolare""]",[],factoid,hard,SILVER (provisional): risposta redatta da Claude (Fable 5) il 2026-07-15 da evidenze BM25 del corpus circular (run_full_circular_20260707 + run_fix2docs_20260710). Non validata da esperto; non usare per numeri finali del paper.
