question_id,question,canonical_answer,answer_variants,expected_entities,gold_triples,question_type,difficulty,notes
q_001,"According to the Regulation, what is the definition of 'food business operator'?",A food business operator is defined as the natural or legal persons responsible for ensuring that the requirements of food law are met within the food business under their control.,[],"[""FOOD"", ""Food law"", ""food business operator"", ""business"", ""requirements of food law"", ""food business""]","[{""subject"": ""food business operator"", ""predicate"": ""HAS_COMPONENT"", ""object"": ""FOOD""}]",factoid,,CELEX_32002R0178_EN_TXT.pdf
q_002,What actions must a feed business operator take if they consider or have reason to believe that a feed they have placed on the market may not satisfy the feed safety requirements?,A feed business operator must immediately inform the competent authorities if they consider or have reason to believe that a feed they have placed on the market may not satisfy the feed safety requirements. They must also inform the authorities about the actions taken to prevent risks arising from the use of that feed.,[],"[""feed safety"", ""feed business operator"", ""safety"", ""risks"", ""business"", ""competent authorities"", ""feed business"", ""feed"", ""authorities"", ""market""]","[{""subject"": ""feed business operator"", ""predicate"": ""HAS_COMPONENT"", ""object"": ""feed""}, {""subject"": ""feed business operator"", ""predicate"": ""REQUIRES"", ""object"": ""competent authorities""}, {""subject"": ""feed business"", ""predicate"": ""HAS_COMPONENT"", ""object"": ""feed""}, {""subject"": ""feed"", ""predicate"": ""LOCATED_IN"", ""object"": ""market""}]",multi_hop,,CELEX_32002R0178_EN_TXT.pdf
q_003,What is the maximum level of ergot sclerotia for unprocessed cereal grains except products listed in 1.8.1.2?,"The maximum level of ergot sclerotia for unprocessed cereal grains, except products listed in 1.8.1.2, is 0.2 g/kg.",[],"[""Unprocessed cereal grains"", ""Ergot sclerotia"", ""0.2 g/kg""]","[{""subject"": ""Ergot sclerotia"", ""predicate"": ""HAS_MAXIMUM_LEVEL"", ""object"": ""0.2 g/kg""}]",factoid,,CELEX_32023R0915_EN_TXT.pdf
q_004,"According to the document, what is the maximum level of PFOS in meat of bovine animals, pig, and poultry, and how does this compare to the maximum level of PFOS in meat of sheep?","The maximum level of PFOS in meat of bovine animals, pig, and poultry is 0.30 μg/kg. This is lower compared to the maximum level of PFOS in meat of sheep, which is 1.0 μg/kg.",[],"[""meat"", ""poultry"", ""1.0 μg/kg"", ""0.30 μg/kg""]",[],multi_hop,,CELEX_32023R0915_EN_TXT.pdf
q_005,Which type of cities are described as having a key role in agrifood systems transformation and are home to one-fourth of the global population?,Small and intermediate cities and towns play a key role in agrifood systems transformation and are home to one-fourth of the global population.,[],"[""Intermediate cities"", ""Towns"", ""one-fourth of the global population"", ""Global"", ""AGRIFOOD SYSTEMS"", ""towns"", ""AGRIFOOD SYSTEMS TRANSFORMATION"", ""Cities"", ""systems"", ""population""]",[],factoid,,cc3017en.pdf
q_006,"According to the guideline, what type of acids can be used to treat honeybee diseases in organic beekeeping?","According to the guideline, lactic, oxalic, acetic, and formic acids can be used to treat honeybee diseases in organic beekeeping.",[],"[""Organic beekeeping""]",[],factoid,,cd8167en.pdf
q_007,Where should organic honey be stored to prevent contamination and maintain quality?,Organic honey should be stored in a cold room (preferably ≤ 20°C) and in food graded and air-tight containers to prevent contamination and maintain quality.,[],"[""organic honey"", ""FOOD"", ""Honey"", ""in food graded and air-tight containers""]",[],factoid,,cd8167en.pdf
q_008,"According to the context, what percentage increase in global antibiotic use for livestock is projected by 2040 compared to 2019?",Global antibiotic use for livestock is projected to increase by 30% by 2040 compared to 2019.,[],"[""Global"", ""livestock""]",[],comparative,,cd8768en.pdf
q_009,Which organization's report indicates that antimicrobial use in animals has been decreasing but progress has slowed down?,The World Organisation for Animal Health's report indicates that antimicrobial use in animals has been decreasing but progress has slowed down.,[],"[""Report"", ""World Organisation for Animal Health"", ""Health"", ""progress"", ""world"", ""animal health""]","[{""subject"": ""world"", ""predicate"": ""LOCATED_IN"", ""object"": ""world""}, {""subject"": ""world"", ""predicate"": ""LOCATED_IN"", ""object"": ""world""}]",factoid,,cd8768en.pdf
q_010,Which organization allows the extraction of scallops with toxin limits above 20 mg/kg but below 250 mg/kg?,"The European Union allows the extraction of scallops with toxin limits above 20 mg/kg but below 250 mg/kg, with the condition that the hepatopancreas is removed before the product is marketed.",[],"[""European Union"", ""Toxin"", ""20 mg/kg"", ""250 mg/kg""]",[],factoid,,cd8990en.pdf
